,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Iraq,0.06491,0.02403,0.02513,0.01885,0.02094,0.02408,0.02827,0.03709,0.09244,0.09244,0.08062,0.04083,0.10575,0.09429,0.1172,0.11721,0.1198,0.11277,0.10908,0.11758,0.11647,0.10205,0.08726,0.04067,0.06471,0.05361,0.06655,0.05398,0.06951,0.04248,0.04807
Israel,0.0052,0.00519,0.00312,0.00208,0.00208,0.00208,0.00145,0.00218,0.00147,0.00147,0.0011,0.0011,0.00079,0.0011,0.0011,0.00074,0.00073,0.00073,0.00073,0.00035,0.00035,0.00035,0.00034,0.00071,0.02752,0.02611,0.03422,0.04022,0.0508,0.10374,0.13174
Jordan,0,0,0,0,0,0,0,0,0,0.00296,0.00481,0.00481,0.00555,0.00739,0.01035,0.01072,0.00998,0.01072,0.01035,0.01035,0.01072,0.01072,0.01146,0.0244,0.05213,0.05768,0.08319,0.09613,0.10834,0.11351,0.10131
Kuwait,0.25547,0.1047,0.1047,0.12983,0.15077,0.14658,0.19998,0.29753,0.36752,0.43481,0.26803,0.01885,0.09687,0.2004,0.22074,0.22074,0.34387,0.34276,0.33277,0.31946,0.35496,0.31429,0.2958,0.33647,0.35866,0.45479,0.45886,0.44592,0.46958,0.45771,0.46673
Oman,0.02932,0.03455,0.04293,0.0534,0.04921,0.05759,0.07329,0.08355,0.07653,0.10317,0.10365,0.12983,0.12239,0.14642,0.15345,0.1357,0.13385,0.16602,0.24255,0.19005,0.23183,0.23442,0.24182,0.23627,0.24736,0.33906,0.39822,0.40237,0.4999,0.54464,0.6478
Qatar,0.19265,0.16454,0.19474,0.18228,0.21882,0.19998,0.20207,0.20741,0.21668,0.22518,0.28897,0.34342,0.41966,0.49916,0.49915,0.49916,0.50655,0.53761,0.54686,0.5158,0.55684,0.40487,0.41079,0.45146,0.55573,0.69143,0.72508,0.7284,0.74693,0.78017,0.80605
Saudi Arabia,0.3497,0.5905,0.45022,0.43765,0.64914,0.74965,0.93183,0.99078,1.0759,1.10185,1.12762,1.18311,1.25714,1.3274,1.39394,1.40652,1.52854,1.67644,1.73116,1.70824,1.84172,1.98518,2.09647,2.22071,2.42851,2.63409,2.71617,2.75166,2.97425,2.90067,3.24121
Syria,0.01635,0.00849,0.00866,0.00847,0.00866,0.00481,0.00866,0.02106,0.01733,0.03398,0.09909,0.11929,0.1223,0.1257,0.12909,0.09988,0.13657,0.15492,0.19534,0.2052,0.20724,0.18991,0.25143,0.25328,0.26252,0.22555,0.23109,0.22185,0.22333,0.27435,0.35607
United Arab Emirates,0.10994,0.1403,0.09528,0.19055,0.25233,0.39472,0.45126,0.60675,0.65045,0.73469,0.69417,0.82713,0.94439,0.83504,0.80125,0.91661,1.00387,1.07227,1.12366,1.14511,1.16212,1.20094,1.34736,1.40061,1.48676,1.52521,1.59324,1.81805,2.19778,2.16595,2.23845
Africa,0.83315,0.68804,0.93403,1.14243,1.24561,1.208,1.28458,1.39222,1.47278,1.50167,1.51526,1.68664,1.65561,1.70642,1.78388,1.87281,1.94098,1.93786,1.99061,2.02983,2.20208,2.46163,2.54445,2.76462,2.81811,3.22435,3.1188,3.30753,3.87602,3.63183,3.81035
Algeria,0.5428,0.40828,0.65254,0.77408,0.8024,0.68912,0.71036,0.77377,0.84051,0.77922,0.80358,0.9145,0.8614,0.77301,0.81468,0.87552,0.85888,0.80237,0.82983,0.84814,0.81829,0.81351,0.81232,0.8167,0.76734,0.95381,1.01888,1.05299,1.10147,1.14449,1.14704
Angola,0.00961,0.00925,0.01047,0.01298,0.01256,0.01361,0.01466,0.01665,0.01849,0.0159,0.01989,0.02094,0.02108,0.02071,0.01922,0.0207,0.02071,0.02108,0.02145,0.02071,0.02108,0.0196,0.02292,0.02403,0.02773,0.02403,0.02514,0.03069,0.02514,0.02551,0.0271
