"","NRO","SEXO","EDAD","edideal_muj","edideal_hom","DOMINIO","NSEGrup"
"772",772,"Femenino",27,24,28,"Sur","D/E"
"773",773,"Masculino",32,25,26,"Sur","C"
"774",774,"Masculino",31,25,25,"Sur","C"
"775",775,"Femenino",19,25,28,"Sur","D/E"
"776",776,"Masculino",46,30,35,"Sur","D/E"
"777",777,"Femenino",48,30,35,"Sur","D/E"
"778",778,"Masculino",35,26,29,"Sur","D/E"
"779",779,"Masculino",38,99,99,"Centro","C"
"780",780,"Femenino",33,26,30,"Centro","C"
"781",781,"Femenino",50,28,30,"Centro","D/E"
"782",782,"Femenino",18,25,30,"Centro","D/E"
"783",783,"Masculino",64,30,35,"Centro","C"
"784",784,"Femenino",40,25,30,"Centro","D/E"
"785",785,"Masculino",44,27,28,"Centro","C"
"786",786,"Femenino",52,25,25,"Centro","C"
"787",787,"Femenino",29,25,25,"Centro","C"
"788",788,"Masculino",22,28,28,"Centro","D/E"
"789",789,"Femenino",36,20,25,"Centro","C"
"790",790,"Femenino",40,35,35,"Centro","D/E"
"791",791,"Masculino",18,32,35,"Centro","C"
"792",792,"Masculino",19,26,32,"Centro","D/E"
"793",793,"Femenino",44,28,30,"Centro","D/E"
"794",794,"Masculino",35,20,20,"Centro","D/E"
"795",795,"Femenino",29,20,30,"Centro","D/E"
"796",796,"Femenino",65,25,29,"Centro","D/E"
"797",797,"Masculino",70,25,27,"Centro","D/E"
"798",798,"Femenino",60,24,28,"Centro","D/E"
"799",799,"Femenino",45,30,35,"Centro","D/E"
"800",800,"Femenino",49,25,27,"Centro","C"
"801",801,"Femenino",25,26,28,"Centro","D/E"
"802",802,"Femenino",60,28,30,"Centro","C"
"803",803,"Masculino",42,27,30,"Centro","D/E"
"804",804,"Masculino",40,25,30,"Centro","C"
"805",805,"Femenino",21,28,30,"Centro","A/B"
"806",806,"Femenino",46,25,30,"Centro","C"
"807",807,"Femenino",45,30,35,"Centro","C"
"808",808,"Masculino",44,20,35,"Centro","D/E"
"809",809,"Masculino",44,22,24,"Centro","D/E"
"810",810,"Femenino",48,30,30,"Centro","D/E"
"811",811,"Femenino",29,27,30,"Centro","A/B"
"812",812,"Masculino",44,99,99,"Centro","C"
"813",813,"Masculino",21,24,25,"Centro","A/B"
"814",814,"Masculino",28,25,30,"Centro","A/B"
"815",815,"Femenino",52,28,33,"Centro","A/B"
"816",816,"Femenino",28,25,25,"Centro","C"
"817",817,"Masculino",46,21,28,"Centro","C"
"818",818,"Femenino",27,25,30,"Centro","A/B"
"819",819,"Masculino",25,28,28,"Centro","C"
"820",820,"Masculino",46,25,28,"Centro","C"
"821",821,"Femenino",32,25,25,"Centro","D/E"
"822",822,"Femenino",35,30,35,"Centro","D/E"
"823",823,"Femenino",25,25,30,"Centro","D/E"
"824",824,"Femenino",35,30,32,"Centro","D/E"
"825",825,"Femenino",30,30,30,"Centro","D/E"
"826",826,"Masculino",18,25,33,"Centro","D/E"
"827",827,"Masculino",30,26,29,"Centro","D/E"
"828",828,"Masculino",69,22,28,"Centro","D/E"
"829",829,"Femenino",18,28,30,"Centro","C"
"830",830,"Femenino",69,20,25,"Centro","D/E"
"831",831,"Femenino",40,20,20,"Centro","D/E"
"832",832,"Masculino",38,25,30,"Centro","D/E"
"833",833,"Masculino",56,20,19,"Centro","D/E"
"834",834,"Femenino",53,30,30,"Norte","D/E"
"835",835,"Femenino",56,25,30,"Norte","C"
"836",836,"Femenino",57,28,30,"Norte","D/E"
"837",837,"Femenino",41,30,30,"Norte","D/E"
"838",838,"Femenino",49,28,32,"Norte","D/E"
"839",839,"Masculino",25,25,30,"Norte","A/B"
"840",840,"Masculino",57,20,28,"Norte","A/B"
"841",841,"Femenino",53,30,33,"Norte","C"
"842",842,"Masculino",28,20,35,"Norte","A/B"
"843",843,"Masculino",36,23,33,"Norte","A/B"
"844",844,"Femenino",21,23,25,"Norte","C"
"845",845,"Femenino",49,22,29,"Norte","C"
"846",846,"Femenino",37,23,28,"Norte","C"
"847",847,"Femenino",54,25,28,"Norte","C"
"848",848,"Masculino",31,25,28,"Norte","C"
"849",849,"Femenino",52,25,28,"Norte","C"
"850",850,"Masculino",76,25,28,"Norte","A/B"
"851",851,"Masculino",52,26,28,"Norte","A/B"
"852",852,"Masculino",32,35,40,"Norte","D/E"
"853",853,"Masculino",34,25,30,"Norte","D/E"
"854",854,"Masculino",66,25,30,"Norte","A/B"
"855",855,"Masculino",54,28,30,"Norte","A/B"
"856",856,"Femenino",44,25,28,"Norte","A/B"
"857",857,"Femenino",26,30,30,"Norte","D/E"
"858",858,"Femenino",40,25,30,"Norte","C"
"859",859,"Femenino",19,25,25,"Norte","C"
"860",860,"Femenino",50,30,30,"Norte","D/E"
"861",861,"Femenino",57,20,25,"Norte","D/E"
"862",862,"Masculino",66,99,20,"Norte","D/E"
"863",863,"Masculino",51,30,25,"Norte","D/E"
"864",864,"Femenino",36,25,28,"Norte","D/E"
"865",865,"Femenino",57,99,99,"Norte","A/B"
"866",866,"Masculino",50,99,99,"Norte","C"
"867",867,"Femenino",22,33,34,"Norte","C"
"868",868,"Femenino",22,27,30,"Norte","C"
"869",869,"Masculino",36,25,27,"Norte","C"
"870",870,"Masculino",62,18,22,"Norte","D/E"
"871",871,"Masculino",46,25,28,"Norte","D/E"
"872",872,"Masculino",92,25,25,"Norte","D/E"
"873",873,"Masculino",21,25,25,"Norte","D/E"
"874",874,"Femenino",22,31,24,"Norte","D/E"
"875",875,"Masculino",35,25,30,"Norte","D/E"
"876",876,"Masculino",30,20,20,"Norte","C"
"877",877,"Femenino",33,25,25,"Norte","D/E"
