Date,Open,High,Low,Close,Volume
7/3/2014,1975.880005,1985.589966,1975.880005,1985.439941,1998.09
7/7/2014,1984.219971,1984.219971,1974.880005,1977.650024,2681.26
7/8/2014,1976.390015,1976.390015,1959.459961,1963.709961,3302.43
7/9/2014,1965.099976,1974.150024,1965.099976,1972.829956,2858.8
7/10/2014,1966.670044,1969.839966,1952.859985,1964.680054,3165.69
7/11/2014,1965.76001,1968.670044,1959.630005,1967.569946,2684.63
7/14/2014,1969.859985,1979.849976,1969.859985,1977.099976,2744.92
7/15/2014,1977.359985,1982.52002,1965.339966,1973.280029,3328.74
7/16/2014,1976.349976,1983.939941,1975.670044,1981.569946,3390.95
7/17/2014,1979.75,1981.800049,1955.589966,1958.119995,3381.68
7/18/2014,1961.540039,1979.910034,1960.819946,1978.219971,3106.06
7/21/2014,1976.930054,1976.930054,1965.77002,1973.630005,2611.16
7/22/2014,1975.650024,1986.23999,1975.650024,1983.530029,2890.48
7/23/2014,1985.319946,1989.22998,1982.439941,1987.01001,2869.72
7/24/2014,1988.069946,1991.390015,1985.790039,1987.97998,3203.53
7/25/2014,1984.599976,1984.599976,1974.369995,1978.339966,2638.96
7/28/2014,1978.25,1981.52002,1967.310059,1978.910034,2803.32
7/29/2014,1980.030029,1984.849976,1969.949951,1969.949951,3183.3
7/30/2014,1973.209961,1978.900024,1962.420044,1970.069946,3448.25
7/31/2014,1965.140015,1965.140015,1930.670044,1930.670044,4193
8/1/2014,1929.800049,1937.349976,1916.369995,1925.150024,3789.66
8/4/2014,1926.619995,1942.920044,1921.199951,1938.98999,3072.92
8/5/2014,1936.339966,1936.339966,1913.77002,1920.209961,3462.52
8/6/2014,1917.290039,1927.910034,1911.449951,1920.23999,3539.15
8/7/2014,1923.030029,1928.890015,1904.780029,1909.569946,3230.52
8/8/2014,1910.349976,1932.380005,1909.01001,1931.589966,2902.28
8/11/2014,1933.430054,1944.900024,1933.430054,1936.920044,2784.89
8/12/2014,1935.72998,1939.650024,1928.290039,1933.75,2611.7
8/13/2014,1935.599976,1948.410034,1935.599976,1946.719971,2718.02
8/14/2014,1947.410034,1955.22998,1947.410034,1955.180054,2609.46
8/15/2014,1958.869995,1964.040039,1941.5,1955.060059,3023.38
8/18/2014,1958.359985,1971.98999,1958.359985,1971.73999,2638.16
8/19/2014,1972.72998,1982.569946,1972.72998,1981.599976,2656.43
8/20/2014,1980.459961,1988.569946,1977.680054,1986.51001,2579.38
8/21/2014,1986.819946,1994.76001,1986.819946,1992.369995,2638.92
8/22/2014,1992.599976,1993.540039,1984.76001,1988.400024,2301.86
8/25/2014,1991.73999,2001.949951,1991.73999,1997.920044,2233.88
8/26/2014,1998.589966,2005.040039,1998.589966,2000.02002,2451.95
8/27/2014,2000.540039,2002.140015,1996.199951,2000.119995,2344.35
8/28/2014,1997.420044,1998.550049,1990.52002,1996.73999,2282.4
8/29/2014,1998.449951,2003.380005,1994.650024,2003.369995,2259.13
9/2/2014,2004.069946,2006.119995,1994.849976,2002.280029,2819.98
9/3/2014,2003.569946,2009.280029,1998.140015,2000.719971,2809.98
9/4/2014,2001.670044,2011.170044,1992.540039,1997.650024,3072.41
9/5/2014,1998,2007.709961,1990.099976,2007.709961,2818.3
