NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2024/01565;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;08/07/2024;IN - Internet                                                    ;S;F
213/2024/01567;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01568;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01569;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01570;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01571;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01572;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01573;14/06/2024;Coordinación del Distrito de Hortaleza;;;SR - Sugerencias y Reclamaciones                                 ;S;F
213/2024/01574;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01575;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01576;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;23/07/2024;IN - Internet                                                    ;S;F
213/2024/01577;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01579;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01580;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01581;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01582;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01583;14/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01584;15/06/2024;Gerencia de Madrid Salud;Conceder;22/07/2024;IN - Internet                                                    ;S;F
213/2024/01585;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01586;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01587;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01588;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01589;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01590;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01591;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01592;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01593;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01594;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01595;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01596;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01597;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01598;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01599;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01600;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01601;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01602;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01603;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01604;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01605;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01606;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01607;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01608;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01609;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01610;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01611;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01612;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01613;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01614;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01615;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01616;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01617;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01618;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01619;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01620;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01621;15/06/2024;Coordinación del Distrito de Chamberí;Conceder;25/06/2024;IN - Internet                                                    ;S;F
213/2024/01622;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01623;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01624;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01625;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01626;15/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01627;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01628;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01629;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01630;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01631;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01632;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01633;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01634;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01635;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01636;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;N;
213/2024/01637;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01638;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01639;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01640;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01641;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01642;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01643;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01644;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01645;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01646;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01647;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01648;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01649;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01650;16/06/2024;Gerencia de la Agencia para el Empleo;Desistimiento;27/06/2024;IN - Internet                                                    ;S;F
213/2024/01651;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01652;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01653;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01654;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01655;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01656;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01657;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01658;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01659;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01660;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01661;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01662;16/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01663;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01664;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01665;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01666;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01667;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01668;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01669;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01670;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01671;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01672;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01673;12/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;19/06/2024;AC - Atención al ciudadano                                       ;S;F
213/2024/01674;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01675;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01676;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01677;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01678;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01679;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01680;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01681;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01682;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01685;17/06/2024;Dirección General de Transparencia y Calidad;Conceder;03/07/2024;IN - Internet                                                    ;S;F
213/2024/01686;17/06/2024;Coordinación del Distrito de Chamberí;Conceder;24/06/2024;IN - Internet                                                    ;S;F
213/2024/01687;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;24/06/2024;IN - Internet                                                    ;S;F
213/2024/01688;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01689;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01690;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01691;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01692;17/06/2024;Gerencia de Agencia de Actividades;Conceder;28/06/2024;IN - Internet                                                    ;S;F
213/2024/01693;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01694;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01695;17/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01696;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01700;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01701;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01702;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;09/07/2024;IN - Internet                                                    ;S;F
213/2024/01704;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01705;18/06/2024;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;19/06/2024;IN - Internet                                                    ;S;F
213/2024/01706;18/06/2024;Coordinación del Distrito de Ciudad Lineal;Desistimiento;22/07/2024;IN - Internet                                                    ;S;F
213/2024/01707;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;19/07/2024;IN - Internet                                                    ;S;J
213/2024/01708;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01709;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01710;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01711;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;28/06/2024;IN - Internet                                                    ;S;F
213/2024/01712;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01713;18/06/2024;Dirección General de Transparencia y Calidad;Conceder;08/07/2024;IN - Internet                                                    ;S;F
213/2024/01715;18/06/2024;Gerencia de Agencia de Actividades;Conceder;18/07/2024;IN - Internet                                                    ;S;F
213/2024/01716;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01717;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01718;18/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01719;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01720;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01721;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01722;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01723;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01724;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01725;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01726;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;08/07/2024;IN - Internet                                                    ;S;F
213/2024/01727;20/05/2024;Dirección General de Transparencia y Calidad;Conceder parcial;27/06/2024;AC - Atención al ciudadano                                       ;S;F
213/2024/01728;20/05/2024;Gerencia Informática Ayuntamiento de Madrid;Conceder;11/07/2024;AC - Atención al ciudadano                                       ;S;F
213/2024/01729;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;05/07/2024;IN - Internet                                                    ;S;F
213/2024/01730;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;31/07/2024;IN - Internet                                                    ;S;F
213/2024/01731;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01732;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;05/07/2024;IN - Internet                                                    ;S;F
213/2024/01733;19/06/2024;Empresa Municipal de Transportes, S.A.;Conceder;22/07/2024;IN - Internet                                                    ;S;F
213/2024/01734;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01735;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01737;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01738;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01739;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01740;19/06/2024;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;25/06/2024;IN - Internet                                                    ;S;F
213/2024/01741;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01742;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01743;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;15/07/2024;IN - Internet                                                    ;S;F
213/2024/01744;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;05/07/2024;IN - Internet                                                    ;S;F
213/2024/01745;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01746;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01747;19/06/2024;Secretaría General Técnica del AG de Políticas Sociales, Familia e Igualdad;Conceder;16/07/2024;IN - Internet                                                    ;S;F
213/2024/01748;19/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01749;20/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01750;20/06/2024;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;25/06/2024;IN - Internet                                                    ;S;F
213/2024/01751;20/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01752;20/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01754;21/06/2024;Secretaría General Técnica de Coordinación General de la Alcaldía;No admisión a trámite;29/07/2024;IN - Internet                                                    ;S;F
213/2024/01755;21/06/2024;Coordinación del Distrito de Hortaleza;;;IN - Internet                                                    ;S;F
213/2024/01756;21/06/2024;Coordinación del Distrito de Fuencarral-El Pardo;Resolución concediendo;28/06/2024;SR - Sugerencias y Reclamaciones                                 ;S;F
213/2024/01757;21/06/2024;Dirección Agencia Tributaria Madrid;Inadmitir a Trámite;27/06/2024;IN - Internet                                                    ;S;F
213/2024/01758;21/06/2024;Coordinación del Distrito de Centro;;;IN - Internet                                                    ;S;F
213/2024/01759;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;Conceder;01/07/2024;IN - Internet                                                    ;S;F
213/2024/01760;21/06/2024;Coordinación del Distrito de Salamanca;Conceder;05/07/2024;IN - Internet                                                    ;S;F
213/2024/01761;21/06/2024;Coordinación del Distrito de Salamanca;Conceder;10/07/2024;IN - Internet                                                    ;S;F
213/2024/01762;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01763;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01764;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01765;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01766;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01767;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
213/2024/01768;21/06/2024;Secretaría General Técnica del Área de Gobierno de Urbanismo,Medio Ambien y Mov;;;IN - Internet                                                    ;S;F
