,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
10,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.077136,6894437590,11,6894438256.0,194374465.0,0.077328,0.076247,0.00081185,1.0637,71577572.0,1.04908,89376392079.142,89376400713.9036,,0.231673,-66.70293,2018-01-05T00:00:00.000Z,0.00180434,4175.25674,2017-11-12T00:00:00.000Z,,2023-08-25T23:23:51.670Z,39.59771678209714,usd,3959.7716782097136
11,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1639712644,4.48,5685017743,12,6047964504.0,99359582.0,4.49,4.36,0.078204,1.77549,101952771.0,1.82611,1267946998.70699,1348896131.62795,,54.98,-91.84496,2021-11-04T14:10:09.301Z,2.7,66.22018,2020-08-20T05:48:11.359Z,,2023-08-25T23:23:50.465Z,,,
12,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,0.545512,5085142180,13,5456471975.0,239334028.0,0.55144,0.536517,0.00136155,0.25022,13282462.0,0.26189,9319469069.28493,10000000000.0,10000000000.0,2.92,-81.28895,2021-12-27T02:08:34.307Z,0.00314376,17257.03219,2019-05-10T00:00:00.000Z,,2023-08-25T23:23:50.310Z,206.41889294228045,usd,20641.889294228047
13,the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1670498136,1.43,4915719349,14,7278565942.0,26102584.0,1.44,1.39,0.02094542,1.48707,73833723.0,1.5249,3439386167.16153,5092601355.35322,,5.29,-72.98195,2021-11-12T06:50:02.476Z,0.519364,175.23479,2021-09-21T00:33:11.092Z,,2023-08-25T23:23:47.977Z,,,
14,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,65.11,4791691451,15,5470176806.0,371183003.0,65.27,63.73,0.432269,0.6683,31798973.0,0.66806,73581183.2334713,84000000.0,84000000.0,410.26,-84.12786,2021-05-10T03:13:07.904Z,1.15,5568.05343,2015-01-14T00:00:00.000Z,,2023-08-25T23:23:53.450Z,,,
15,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,8.12e-06,4789313766,16,8126555131.0,130974099.0,8.24e-06,8.01e-06,-2.9614184702e-08,-0.36328,-16655020.774321556,-0.34655,589332148284765.6,999984638274534.0,,8.616e-05,-90.56855,2021-10-28T03:54:55.568Z,5.6366e-11,14416334.44975,2020-11-28T11:26:25.838Z,,2023-08-25T23:23:51.193Z,,,
16,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,26045.0,4239769718,17,4239769718.0,50372954.0,26202.0,25831.0,-59.06346987217694,-0.22626,339258.0,0.008,162789.49164305,162789.49164305,162789.49164305,70643.0,-63.13245,2021-11-10T14:40:19.650Z,3139.17,729.66088,2019-04-02T00:00:00.000Z,,2023-08-25T23:23:51.276Z,,,
17,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1687143508,0.999932,3936770631,18,3936770631.0,64332666.0,1.002,0.998591,-0.000122210020925273,-0.01222,16332263.0,0.41659,3937037070.24146,3937037070.24146,,1.22,-17.96642,2020-03-13T03:02:50.373Z,0.88196,13.37618,2023-03-11T07:50:50.514Z,,2023-08-25T23:20:00.334Z,,,
18,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,192.13,3744874479,19,4035775866.0,127352396.0,194.45,188.7,-1.4372422390421775,-0.74252,-24995294.99876213,-0.66303,19486306.1466508,21000000.0,21000000.0,3785.82,-94.92369,2017-12-20T00:00:00.000Z,76.93,149.79569,2018-12-16T00:00:00.000Z,,2023-08-25T23:23:49.028Z,,,
19,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.84,3567697539,20,3781537140.0,82568.0,3.86,3.73,0.078109,2.07875,71099751.0,2.0334,929525857.9,985239504.0,,8.14,-52.82142,2022-02-08T17:40:10.285Z,0.799859,379.85197,2019-12-24T15:14:35.376Z,,2023-08-25T23:23:42.448Z,,,
20,avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1670992574,10.04,3456340460,21,7232444716.0,130787194.0,10.11,9.9,-0.03818791094646912,-0.3788,-9881383.438928127,-0.28508,344083533.095613,430802933.97614,720000000.0,144.96,-93.06998,2021-11-21T14:18:56.538Z,2.8,258.64371,2020-12-31T13:15:21.540Z,,2023-08-25T23:23:53.996Z,,,
21,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1687143398,4.54,3422573576,22,4540627394.0,93673927.0,4.66,4.52,-0.09025175724559631,-1.94944,-66785151.90827322,-1.91397,753766667.0,1000000000.0,1000000000.0,44.92,-89.89173,2021-05-03T05:25:04.822Z,1.03,340.74639,2020-09-17T01:20:38.214Z,,2023-08-25T23:23:51.757Z,,,
22,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.123455,3386341283,23,6175637560.0,74669948.0,0.124729,0.120862,0.00018903,0.15335,9206133.0,0.2726,27417916719.2095,50001787230.4731,50001787230.4731,0.875563,-85.8926,2018-01-03T00:00:00.000Z,0.00047612,25842.67844,2015-03-05T00:00:00.000Z,,2023-08-25T23:23:48.168Z,,,
23,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,6.0,3231125164,24,6004693061.0,170114470.0,6.08,5.93,-0.052743378850135685,-0.87094,-26608743.55590439,-0.81679,538099971.2305644,1000000000.0,1000000000.0,52.7,-88.60568,2021-05-10T00:13:57.214Z,0.148183,3952.02269,2017-11-29T00:00:00.000Z,,2023-08-25T23:23:49.474Z,,,
24,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.999694,3144684286,25,3144684286.0,862733662.0,1.003,0.996585,-0.000811019359919674,-0.08106,-27515771.46978855,-0.8674,3145564461.85,3145564461.85,,1.15,-13.38579,2020-03-13T02:35:42.953Z,0.901127,10.93935,2021-05-19T13:04:37.445Z,,2023-08-25T23:23:48.272Z,,,
25,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,0.999482,2906763404,26,2906763404.0,1741079571.0,1.002,0.993851,0.00022374,0.02239,5749211.0,0.19818,2907448855.8,2907448855.8,,1.62,-38.22852,2018-08-26T20:41:09.375Z,0.88355,13.15483,2020-03-12T10:47:51.380Z,,2023-08-25T23:23:50.135Z,,,
26,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,42.88,2573021940,27,12865109701.0,2841653.0,43.42,42.51,-0.07621526028457025,-0.17743,-4226629.701110363,-0.164,60000000.0,235957685.3,300000000.0,58.66,-26.89163,2023-02-18T01:21:37.582Z,0.580608,7286.1142,2019-01-14T00:00:00.000Z,,2023-08-25T23:23:52.985Z,,,
27,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,139.79,2537252056,28,,63480048.0,140.09,137.08,1.3,0.93727,25461569.0,1.01368,18147820.3764146,,,542.33,-74.21467,2018-01-09T00:00:00.000Z,0.216177,64588.03703,2015-01-14T00:00:00.000Z,,2023-08-25T23:23:52.415Z,,,
28,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,15.96,2277140847,29,3362442304.0,60891929.0,16.08,15.75,0.00429058,0.02689,-1610237.2835888863,-0.07066,142691987.876706,210700000.0,210700000.0,167.09,-90.44881,2021-05-06T18:34:22.133Z,0.615038,2494.74171,2016-07-25T00:00:00.000Z,,2023-08-25T23:23:53.641Z,34.46652341099818,usd,3446.652341099818
29,cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,7.24,2117455757,30,,106453233.0,7.26,7.06,0.056781,0.79077,14629601.0,0.69571,292586163.827428,,,44.45,-83.71808,2022-01-17T00:34:41.497Z,1.16,523.84706,2020-03-13T02:27:44.591Z,,2023-08-25T23:23:53.240Z,71.37276343825754,usd,7137.276343825754
30,hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.058766,1944514137,31,2938820837.0,56441338.0,0.061281,0.058293,-0.000182798122770708,-0.3101,-4548170.618990898,-0.23335,33083237216.8419,50000000000.0,50000000000.0,0.569229,-89.67402,2021-09-15T10:40:28.318Z,0.00986111,496.06353,2020-01-02T17:30:24.852Z,,2023-08-25T23:23:55.170Z,,,
