CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,VP,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSD,OVSDSE,IM,GM,IND0A100,LUG_NAC,LUGAR_EST,AÑOS
10,Durango,10028,San Juan Del R�o,14212,2712,7.39,-,-,6.25,14.83,-,-,-,-,73.68,-,-0.42,Medio,-,1537,-,1995
10,Durango,10024,Rodeo,14208,-,7.82,52.67,57.72,7.39,11.41,60.58,19.16,100,74.26,-,-,-0.474,Medio,-,1598,20,1990
10,Durango,10035,Tepehuanes,13588,3218,10.47,-,-,38.81,28.63,-,-,-,-,53.49,-,-0.437,Medio,-,1550,-,1995
10,Durango,10024,Rodeo,13554,-,3.33,22.19,4.97,1.41,1.4,26.35,1.76,100,61.16,-,-,-0.521,Bajo,-,1629,20,2015
10,Durango,10024,Rodeo,13547,2663,6.95,-,-,3.44,4.19,-,-,-,-,57.25,-,-0.668,Medio,-,1730,-,1995
10,Durango,10018, El Oro                                           ,13516,3175,5.51,-,-,3.85,12.76,-,-,-,-,52.03,-,-1.021,Bajo,-,2007,-,1995
10,Durango,10017,Ocampo,13126,-,9.24,47.45,43.95,19.86,20.09,49.42,14.57,100,72.45,-,-,-0.652,Bajo,-,1722,28,1990
10,Durango,10015,Nazas,12957,-,5.32,25.68,6.06,0.8,1.47,26.74,2.36,100,61.38,-,-,-0.404,Medio,-,1532,14,2015
10,Durango,10035,Tepehuanes,12937,-,9.78,48.51,-,24.51,29.4,35.88,23.44,100,67.66,-,29.72,-0.049,Alto,-,1241,9,2000
10,Durango,10015,Nazas,12864,2650,6.42,-,-,4.14,5.49,-,-,-,-,33.9,-,-0.822,Bajo,-,1855,-,1995
10,Durango,10020,P�nuco De Coronado,12853,-,5.89,42.04,-,1.06,4.48,38.27,10.72,100,61.67,-,26.96,-0.694,Medio,-,1777,25,2000
10,Durango,10024, Rodeo                                            ,12788,-,4.02,25.29,8.56,2.58,1.61,36.37,2.88,100,63.39,-,-,-0.539,Medio,21.578,1653,-,2010
10,Durango,10028,San Juan del R�o,12747,-,3.86,25.13,8.18,1.21,1.82,25.27,1.34,100,48.59,-,-,-0.564,Bajo,-,1668,22,2015
10,Durango,10006,General Sim�n Bol�var,12731,-,9.06,62.62,74.91,9.75,24.1,66.89,29.04,100,84.89,-,-,0.057,Alto,-,1146,10,1990
10,Durango,10024,Rodeo,12497,-,5.6,37.46,-,2.2,4.51,44.44,8.33,100,65.91,-,18.88,-0.7,Bajo,-,1779,26,2000
10,Durango,10015,Nazas,12467,-,7.07,40.95,-,3.33,1.56,40.84,11.81,100,71.33,-,20.11,-0.601,Medio,-,1707,21,2000
10,Durango,10006,General Sim�n Bol�var,12427,2255,8.82,-,-,3.35,17.59,-,-,-,-,76.81,-,-0.141,Medio,-,1300,-,1995
10,Durango,10015, Nazas                                            ,12411,-,5.57,29.62,10,1.85,0.73,35.43,5.8,100,57.24,-,-,-0.484,Medio,22.208,1608,-,2010
10,Durango,10028,San Juan Del R�o,12290,-,6.46,43.7,-,3.82,10.28,43.51,11.7,100,74.01,-,38.26,-0.348,Medio,-,1504,16,2000
10,Durango,10020,P�nuco de Coronado,12290,-,3.52,23.9,3.7,0.33,1.33,21.31,0.73,100,48.8,-,-,-0.761,Bajo,-,1855,29,2015
10,Durango,10018, El Oro                                           ,12247,-,5.39,37.82,-,3.2,5.35,29.93,7.64,53.74,64.58,-,23.78,-0.99,Bajo,-,2008,34,2000
10,Durango,10015,Nazas,12166,-,7,36.48,12.91,2.69,1.56,39.32,9.89,100,69.46,-,-,-0.445,Medio,-,1588,19,2005
10,Durango,10020, P�nuco de Coronado                               ,11927,-,4.3,28.02,7.03,1.04,2.75,30.92,4.51,100,56.01,-,-,-0.652,Medio,20.3,1745,-,2010
10,Durango,10009,Guanacev�,11925,-,14.74,64.97,60.3,67.73,46.67,62.02,32.31,100,67.51,-,-,0.281,Alto,-,955,7,1990
10,Durango,10020,P�nuco de Coronado,11886,-,5.65,34.81,17.37,0.66,4.62,33.56,7.4,100,60.06,-,-,-0.641,Medio,-,1747,25,2005
10,Durango,10028, San Juan del R�o                                 ,11855,-,5.02,30.24,9.93,1.4,3.14,33.96,7.23,100,61.2,-,-,-0.44,Medio,22.697,1581,-,2010
10,Durango,10035,Tepehuanes,11605,-,9.35,41.02,25.29,13.71,32.68,33.03,21.93,100,65.89,-,-,0.095,Alto,-,1104,9,2005
10,Durango,10017,Ocampo,11579,2622,8.8,-,-,13.23,13.49,-,-,-,-,43.29,-,-0.833,Bajo,-,1865,-,1995
10,Durango,10018,El Oro,11496,-,3.42,22.64,5.79,1.1,1.86,17.18,0.83,48.08,37.97,-,-,-1.093,Muy bajo,-,2126,35,2015
10,Durango,10009,Guanacev�,11447,2489,15.34,-,-,58.94,33.17,-,-,-,-,40.25,-,0.075,Medio,-,1114,-,1995
10,Durango,10018, El Oro                                           ,11320,-,3.84,27.01,8.04,1.72,6.26,23.6,4.01,48.07,55.81,-,-,-0.939,Bajo,17.063,1990,-,2010
10,Durango,10021,Pe��n Blanco,11272,2219,6.56,-,-,7.49,24.76,-,-,-,-,39.59,-,-0.635,Medio,-,1696,-,1995
10,Durango,10024,Rodeo,11231,-,5.25,30.96,10.14,1.43,1.36,39.15,6.86,100,64.19,-,-,-0.659,Bajo,-,1763,27,2005
10,Durango,10035,Tepehuanes,11060,-,6.38,30.07,15.7,8.86,9.67,25.52,8.08,100,45.2,-,-,0.144,Alto,-,1038,7,2015
10,Durango,10021,Pe��n Blanco,10979,-,8.82,53.45,59.57,14.46,34.18,56.09,25.11,53.94,76.88,-,-,-0.442,Medio,-,1574,19,1990
10,Durango,10021,Pe��n Blanco,10922,-,3.5,23.14,5.48,1.18,2.82,26.87,1.35,49.67,59.5,-,-,-0.703,Bajo,-,1803,25,2015
10,Durango,10009,Guanacev�,10794,-,14.36,55.79,-,36.93,36.78,51.63,26.72,100,60.14,-,34.02,0.415,Alto,-,835,6,2000
10,Durango,10035, Tepehuanes                                       ,10745,-,7.87,37.32,21.53,15.9,21.5,29.92,11.14,100,51.86,-,-,0.183,Medio,29.737,1030,-,2010
10,Durango,10006,General Sim�n Bol�var,10644,-,8.8,49.46,-,2.1,5.6,44.4,12.81,100,78.14,-,35.54,-0.257,Medio,-,1429,14,2000
10,Durango,10028,San Juan del R�o,10634,-,5.44,38.15,19.42,1.84,4.22,36.05,8.61,100,72.07,-,-,-0.422,Medio,-,1563,17,2005
10,Durango,10006, General Sim�n Bol�var                            ,10629,-,6.36,36.29,16.25,1.23,8.91,40.23,4.35,100,68.06,-,-,-0.107,Medio,26.458,1281,-,2010
10,Durango,10037,Topia,10503,-,15.74,70.01,75.69,68.97,67,67.47,78.5,100,75.55,-,-,0.958,Alto,-,445,4,1990
10,Durango,10018, El Oro                                           ,10501,-,4.6,33.35,13.97,1.75,4.24,25.62,4.7,49.89,62.89,-,-,-0.961,Bajo,-,2013,34,2005
10,Durango,10021,Pe��n Blanco,10490,-,6.71,37.59,-,3.31,27.8,42.75,10.7,100,72.97,-,19.54,-0.469,Medio,-,1589,17,2000
10,Durango,10021, Pe��n Blanco                                     ,10473,-,5.24,26.92,9.23,2.56,17.88,35.87,6.05,49.67,60.29,-,-,-0.568,Medio,21.252,1671,-,2010
10,Durango,10009,Guanacev�,10224,-,15.45,49.82,19.48,17,47.49,45.4,24.2,100,58.57,-,-,0.501,Alto,-,732,6,2005
10,Durango,10017,Ocampo,10156,-,8.32,36.31,-,7.61,10.16,31.07,7.9,100,64.82,-,14.64,-0.772,Bajo,-,1836,29,2000
10,Durango,10009, Guanacev�                                        ,10149,-,11.11,41.36,9.98,11.91,24.62,41.99,11.73,100,53.83,-,-,0.304,Medio,31.105,925,-,2010
10,Durango,10006,General Sim�n Bol�var,10110,-,7.55,31.74,11.44,0.66,3.8,32.9,2.18,100,56.81,-,-,-0.113,Medio,-,1267,11,2015
10,Durango,10021,Pe��n Blanco,9891,-,6.85,32.86,12.34,2.39,41.98,39.05,10.55,100,71.06,-,-,-0.233,Medio,-,1388,15,2005
10,Durango,10009,Guanacev�,9851,-,10.81,35.9,6.78,4.55,13.39,34.77,9.78,100,40.96,-,-,0.233,Alto,-,962,6,2015
10,Durango,10017, Ocampo                                           ,9626,-,5.49,26.31,6.77,7.17,7.6,24.61,4.93,100,71.35,-,-,-0.424,Medio,22.884,1565,-,2010
10,Durango,10006,General Sim�n Bol�var,9569,-,8.15,42.53,24.84,1.71,9.22,46.69,7.68,100,76.09,-,-,-0.101,Medio,-,1277,13,2005
10,Durango,10017,Ocampo,9567,-,6.48,23.37,6.1,2.82,3.71,18.67,2.11,100,49.22,-,-,-0.561,Bajo,-,1666,21,2015
10,Durango,10037,Topia,9351,-,6.18,28.36,19.91,4.87,1.4,38.22,24.15,100,33.23,-,-,0.321,Alto,-,872,5,2015
10,Durango,10017,Ocampo,9222,-,7.08,31.26,8.96,5.54,8.91,25.84,6.37,100,63.13,-,-,-0.689,Bajo,-,1787,28,2005
10,Durango,10037,Topia,8808,1623,15.53,-,-,27.56,11.14,-,-,-,-,68.38,-,0.365,Alto,-,848,-,1995
10,Durango,10037,Topia,8727,-,12.72,53.88,-,16.47,12.25,56.67,65.85,100,71.5,-,45.87,0.518,Alto,-,749,5,2000
10,Durango,10037, Topia                                            ,8581,-,7.73,35.47,19.88,38.74,24.83,46.98,24.36,100,45.57,-,-,0.946,Muy alto,38.368,432,-,2010
10,Durango,10011,Ind�,8446,-,6.74,52.99,61.72,10.3,20.47,54.29,12.3,100,67.9,-,-,-0.574,Bajo,-,1655,24,1990
10,Durango,10031,Santa Clara,8050,1556,6.13,-,-,4.01,11.37,-,-,-,-,51.47,-,-0.484,Medio,-,1588,-,1995
10,Durango,10037,Topia,7984,-,12.14,44.79,34.84,43.49,58.32,50.66,59.12,100,69.63,-,-,1.404,Muy alto,-,235,3,2005
10,Durango,10031,Santa Clara,7894,-,6.66,56.86,61.93,9.74,15.36,62.45,27.85,100,85.45,-,-,-0.2,Medio,-,1362,15,1990
10,Durango,10027,San Juan de Guadalupe,7809,-,10.9,63.93,69.94,35.93,52.24,61.08,41.04,100,85.94,-,-,0.365,Alto,-,885,6,1990
10,Durango,10033,S�chil,7693,-,11.03,56.37,50.54,25.02,30.12,56.19,32.89,100,82.69,-,-,-0.136,Medio,-,1304,13,1990
10,Durango,10033,S�chil,7512,1485,10.06,-,-,16.24,13.2,-,-,-,-,58.47,-,-0.337,Medio,-,1478,-,1995
10,Durango,10033,S�chil,7331,-,10.12,43.88,-,15.43,10.78,44.51,21.56,100,70.25,-,27.73,-0.204,Medio,-,1381,12,2000
10,Durango,10027,San Juan De Guadalupe,7262,1429,11.42,-,-,14.28,39.47,-,-,-,-,72.58,-,0.106,Medio,-,1078,-,1995
10,Durango,10031,Santa Clara,7089,-,3.26,26.71,4.95,0.61,0.31,24.7,2.47,100,68.53,-,-,-0.43,Medio,-,1550,16,2015
10,Durango,10031, Santa Clara                                      ,7003,-,4.4,30.98,9.69,1.1,0.54,35.09,12.58,100,80.38,-,-,-0.202,Medio,25.394,1373,-,2010
10,Durango,10031,Santa Clara,6969,-,5.88,45.54,-,2.27,9.46,45.38,18.26,100,81.16,-,21.83,-0.335,Medio,-,1492,15,2000
10,Durango,10033,S�chil,6928,-,8.77,36.96,18.89,12.03,10.48,40.87,20.08,100,68.41,-,-,-0.079,Medio,-,1254,12,2005
10,Durango,10033, S�chil                                           ,6761,-,8.67,32.6,13.61,9.85,4.53,34.92,12.68,100,66.04,-,-,0.018,Medio,27.874,1181,-,2010
10,Durango,10011,Ind�,6760,1521,6.74,-,-,3.68,8.2,-,-,-,-,51.48,-,-0.956,Bajo,-,1963,-,1995
10,Durango,10027,San Juan De Guadalupe,6548,-,9.35,51.79,-,15.81,32.47,50.36,21.77,100,75,-,21.59,0.071,Alto,-,1134,8,2000
10,Durango,10031,Santa Clara,6457,-,6.29,37.64,11.61,0.76,0.67,39.19,16.2,100,79.04,-,-,-0.35,Medio,-,1503,16,2005
10,Durango,10033,S�chil,6343,-,5.45,24.21,8.18,3.86,1.66,25.75,7.21,100,59.89,-,-,-0.218,Medio,-,1362,12,2015
10,Durango,10011,Ind�,6011,-,5.68,44.85,-,2.33,2.71,32.45,7.6,100,76.58,-,21.43,-0.639,Medio,-,1731,22,2000
10,Durango,10027, San Juan de Guadalupe                            ,5947,-,8.14,37.5,6.34,3.32,19.88,37.35,3.56,100,81.54,-,-,0.044,Medio,28.172,1155,-,2010
10,Durango,10027,San Juan de Guadalupe,5858,-,11.44,42.38,15.02,10.9,42.09,47.5,20.65,100,73.04,-,-,0.309,Alto,-,897,7,2005
10,Durango,10025,San Bernardo,5629,-,9.8,62.34,75.05,25.92,51.84,50.08,25.19,100,88.52,-,-,0.115,Alto,-,1099,9,1990
10,Durango,10010,Hidalgo,5604,-,7.34,50.36,52.74,7.41,23.76,52.56,12.26,100,76.61,-,-,-0.577,Bajo,-,1658,25,1990
10,Durango,10027,San Juan de Guadalupe,5564,-,7.19,32.47,5.98,1.37,28.79,27.63,2.54,100,66.33,-,-,0.126,Alto,-,1059,8,2015
10,Durango,10003,Coneto de Comonfort,5535,-,6.42,60.13,83.32,20.87,37.52,69.32,25.82,100,86.33,-,-,0.211,Alto,-,1020,8,1990
