"date","time","size","version","os","country","ip_id"
"2020-04-24","18:16:39",86429662,"3.6.3","win","US",113
"2020-04-24","18:16:43",87666180,"4.0.0","win","RU",114
"2020-04-24","18:16:52",87662570,"4.0.0","win","US",115
"2020-04-24","18:16:44",81774920,"3.6.3","osx","US",14
"2020-04-24","18:16:52",88140213,"4.0.0","osx",NA,3
"2020-04-24","18:16:45",81774920,"3.6.3","osx","US",14
"2020-04-24","18:17:08",30483687,"3.6.0","src","US",111
"2020-04-24","18:17:10",86533045,"3.6.3","win",NA,3
"2020-04-24","18:17:25",78114104,"3.5.3","osx","US",38
"2020-04-24","18:17:34",87661108,"4.0.0","win","IN",116
"2020-04-24","18:17:52",87564163,"4.0.0","win","US",117
"2020-04-24","12:18:47",87660253,"4.0.0","win",NA,3
"2020-04-24","12:18:53",87661237,"4.0.0","win","JP",118
"2020-04-24","12:19:03",86429666,"3.6.3","win","US",119
"2020-04-24","12:18:57",86531159,"3.6.3","win",NA,3
"2020-04-24","12:19:04",87564166,"4.0.0","win","US",120
"2020-04-24","12:19:01",86429666,"3.6.3","win","US",121
"2020-04-24","12:19:01",86429666,"3.6.3","win","US",122
"2020-04-24","12:19:01",86429666,"3.6.3","win","US",123
"2020-04-24","12:19:06",87665359,"4.0.0","win","GB",124
"2020-04-24","12:19:05",79365145,"3.6.0","osx","IN",125
"2020-04-24","12:19:10",87661227,"4.0.0","win","RU",126
"2020-04-24","12:19:18",87661542,"4.0.0","win","IN",127
"2020-04-24","12:19:15",87564167,"4.0.0","win",NA,3
"2020-04-24","12:19:18",5248220,"4.0.0","win","ID",128
"2020-04-24","12:19:35",87665359,"4.0.0","win",NA,3
"2020-04-24","12:19:26",87564167,"4.0.0","win","ES",129
"2020-04-24","12:19:54",87564153,"4.0.0","win","FI",130
"2020-04-24","12:20:07",87564155,"4.0.0","win",NA,3
"2020-04-24","12:20:18",86429666,"3.6.3","win","US",131
"2020-04-24","12:19:16",86597900,"3.6.3patched","win","US",35
"2020-04-24","12:20:20",87564166,"4.0.0","win","US",120
"2020-04-24","12:20:25",87564163,"4.0.0","win","CN",132
"2020-04-24","12:20:30",87664718,"4.0.0","win","BY",133
"2020-04-24","12:20:34",87660930,"4.0.0","win","HK",134
"2020-04-24","12:20:35",86597872,"3.6.3patched","win","US",35
"2020-04-24","12:19:41",86599736,"3.6.3patched","win","US",35
"2020-04-24","12:19:35",86597881,"3.6.3patched","win","US",4
"2020-04-24","12:20:47",87664350,"4.0.0","win","BR",135
"2020-04-24","12:20:48",81774920,"3.6.3","osx","US",14
"2020-04-24","12:20:56",87662109,"4.0.0","win","US",136
"2020-04-24","12:21:05",87564166,"4.0.0","win",NA,3
"2020-04-24","12:21:09",87564156,"4.0.0","win","CH",137
"2020-04-24","12:21:30",87564167,"4.0.0","win","TW",138
"2020-04-24","12:21:25",87564167,"4.0.0","win","ES",139
"2020-04-24","12:21:37",87660382,"4.0.0","win",NA,3
"2020-04-24","12:21:20",87660436,"4.0.0","win",NA,3
"2020-04-24","12:19:54",86597891,"3.6.3patched","win","US",81
