"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@CristhianRS","Cristhian Rojas S","#OJO el presidente Sagasti no habla de reforma de la policía. Evita la palabra. Habla de ""modernizar y fortalecer"" nomás. #MensajeALaNación","15","44","223","1606183547000","24 Nov 2020","CristhianRS/status/1331056386634080257","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","OJO | MensajeALaNación"
"@midoeru","EruSaJIP💋","@CharitoABC @CesarNakazaki Sagasti si hace eso sería parte de la corrupcion #mensajealanacion","2","0","11","1606191363000","24 Nov 2020","midoeru/status/1331089173147770882","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","mensajealanacion"
"@russell_sm","Russell Chipana Rezza","Exigimos que @FSagasti incluya en el #MensajeALaNación, la convocatoria a #ReferendumYa, para que el pueblo peruano decida sobre una #NuevaConstitución, en una #SegundaUrna.","0","0","0","1605557987000","16 Nov 2020","russell_sm/status/1328432598914371584","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación | ReferendumYa | NuevaConstitución | SegundaUrna"
"@tefacastillo123","Tefi. 👨‍👩‍👧","Merino no sabe ni hablar y quiere dsr mensaje a la nación. Renuncie desde la madriguera nuco no necesita gastar dinero ni mostrar su horrible cara para eso 😡😡😡lo detesto. #MensajeALaNación con #LutoNacional 😢 https://t.co/aSyvIeQkHD","0","0","0","1605458498000","15 Nov 2020","tefacastillo123/status/1328015311489167361","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación | LutoNacional"
"@mangcer","Manolito","#MensajeALaNacion Hasta el momento, el nuevo Presidente es escueto en su discurso. Eso es bueno.","0","0","0","1605023684000","10 Nov 2020","mangcer/status/1326191572283777024","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@gioman24","Giovanni Minchola","@FSagasti : Sin ciencia no hay futuro. #mensajealanacion #PresidenteSagasti #americatv #Sagasti #Peru #SeMetieronConGeneracionEquivocada https://t.co/T8GPNWpf5k","0","0","0","1605652317000","17 Nov 2020","gioman24/status/1328828248302759939","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","mensajealanacion | PresidenteSagasti | americatv | Sagasti | Peru | SeMetieronConGeneracionEquivocada"
"@ErikaPereyraEs","Erika Pereyra","#Sagasti #MensajeAlaNacion #ReformaPolicialYa https://t.co/aL6GFwW0mZ","0","0","0","1606185025000","24 Nov 2020","ErikaPereyraEs/status/1331062589221122049","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","Sagasti | MensajeAlaNacion | ReformaPolicialYa"
"@agoustic","Agus Tín","No sé por qué esperan que #Sagasti haga una #ReformaPolicial profunda. O una reforma de cualquier otra cosa. Todos saben que es un presidente mo(de)rado, o sea tibio. #FranciscoSagasti #PoliciaNacional #MensajeAlaNacion #Cervantes","0","0","0","1606186446000","24 Nov 2020","agoustic/status/1331068546504339458","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","Sagasti | ReformaPolicial | FranciscoSagasti | PoliciaNacional | MensajeAlaNacion | Cervantes"
"@AGENT_PE28","AGENT 28 🇵🇪","[LIVE NOW] Merino claims there are still groups with other people's interests partaking in the protests. #MensajeALaNacion","1","0","1","1605460592000","15 Nov 2020","AGENT_PE28/status/1328024097255776261","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@YslaGeorge","George Paúl Ysla C.","Ahora veamos que dice... #MensajeAlaNacion","0","0","0","1605460393000","15 Nov 2020","YslaGeorge/status/1328023259250626560","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
