DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLISTS INJURED,NUMBER OF CYCLISTS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/28/2016,18:20:00,QUEENS,11355.0,40.7533101,-73.8273761,"(40.7533101, -73.8273761)",MAIN STREET,BLOSSOM AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,BICYCLE,PASSENGER VEHICLE,,
03/28/2016,18:20:00,,,40.70073970000001,-73.9949795,"(40.7007397, -73.9949795)",,,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,19:00:00,BRONX,10469.0,40.877299,-73.8521136,"(40.877299, -73.8521136)",HICKS STREET,WILSON AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,19:00:00,BROOKLYN,11225.0,40.6564847,-73.9600738,"(40.6564847, -73.9600738)",FLATBUSH AVENUE,WINTHROP STREET,,1,0,1,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,,,,
03/19/2016,05:00:00,,,40.82797100000001,-73.8338999,"(40.827971, -73.8338999)",,,,3,0,0,0,,,Lost Consciousness,Lost Consciousness,Lost Consciousness,Lost Consciousness,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/28/2016,20:00:00,QUEENS,11358.0,40.7529235,-73.80689050000002,"(40.7529235, -73.8068905)",,,46-34 160 STREET,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,20:25:00,BROOKLYN,11206.0,40.7019448,-73.9557223,"(40.7019448, -73.9557223)",LEE AVENUE,HEYWARD STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
03/28/2016,20:30:00,QUEENS,11358.0,40.7584175,-73.7967063,"(40.7584175, -73.7967063)",NORTHERN BOULEVARD,170 STREET,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,20:40:00,QUEENS,11106.0,40.7637338,-73.9413896,"(40.7637338, -73.9413896)",VERNON BOULEVARD,35 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/18/2016,13:11:00,QUEENS,11377.0,40.7446598,-73.9068045,"(40.7446598, -73.9068045)",58 STREET,41 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
