id,host_id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9895122,383697,Entire home/apt,99,1,54,27/03/2019,1.53,16,171
9895577,50897618,Entire home/apt,370,60,10,15/02/2017,0.29,1,364
9897617,299462,Private room,290,3,110,27/03/2019,2.75,79,99
9898380,6182351,Private room,150,3,108,05/04/2019,2.7,1,258
9903565,3052252,Private room,52,2,138,23/03/2019,3.59,1,0
9905008,35365408,Entire home/apt,44,3,43,05/04/2019,1.95,1,65
9907681,48848676,Entire home/apt,85,1,213,25/03/2019,5.34,9,134
9908619,48848676,Private room,49,1,223,04/04/2019,5.59,9,141
9911528,22886148,Entire home/apt,135,1,11,03/03/2019,0.32,5,142
9913061,48191321,Entire home/apt,17,1,1,05/02/2016,0.03,1,0
9914160,136853,Entire home/apt,62,1,31,09/09/2018,0.82,41,219
9914165,8130906,Entire home/apt,267,3,20,05/04/2019,0.89,42,206
9914430,136853,Entire home/apt,62,1,41,22/03/2019,1.15,41,190
9914730,136853,Entire home/apt,62,1,33,02/10/2018,0.94,41,184
9922643,5286153,Private room,50,1,133,27/01/2019,3.37,1,277
9931276,29856086,Private room,81,2,99,31/03/2019,3,1,18
9932068,32036662,Private room,70,2,9,14/08/2017,0.28,2,0
9933039,49642056,Entire home/apt,37,3,186,07/04/2019,4.67,3,132
9934461,50062267,Entire home/apt,70,2,37,27/02/2019,0.97,3,192
9937100,3479346,Entire home/apt,89,31,134,05/04/2019,3.44,14,302
9937559,3479346,Entire home/apt,99,31,146,02/10/2018,3.74,14,140
9941032,44833495,Entire home/apt,350,3,71,01/04/2019,1.79,1,12
9941704,13033664,Private room,30,30,1,28/02/2016,0.03,7,145
9949013,51127554,Private room,29,2,37,25/12/2018,1.66,1,217
9956262,7542275,Private room,138,3,133,30/03/2019,3.34,1,294
9961314,2262273,Entire home/apt,56,32,4,28/04/2018,0.17,15,287
9966956,2321941,Entire home/apt,37,32,9,31/05/2018,0.31,1,216
9970414,45472359,Entire home/apt,54,3,141,28/03/2019,3.54,2,45
9974217,48848676,Private room,85,1,203,27/03/2019,5.21,9,145
9976010,32036662,Private room,45,2,16,03/08/2017,0.4,2,0
9977956,4950474,Private room,210,6,27,05/04/2019,0.72,4,265
9984886,9390264,Entire home/apt,20,31,12,27/02/2019,0.31,1,313
9985434,51251904,Entire home/apt,50,32,33,26/03/2019,0.83,1,283
9986381,27954529,Private room,129,2,110,26/03/2019,2.76,6,251
9991931,41461733,Private room,95,1,1,16/12/2015,0.02,1,0
9992971,4640690,Entire home/apt,320,3,63,25/03/2019,1.61,3,126
9996765,9445480,Private room,252,2,63,08/04/2019,1.79,1,241
9997240,3479346,Entire home/apt,89,31,157,10/02/2019,3.99,14,285
10003263,34111537,Entire home/apt,45,2,8,01/07/2016,0.22,1,0
10005342,51395102,Entire home/apt,30,31,66,10/03/2019,1.68,1,248
10007287,383697,Private room,88,1,37,10/03/2019,0.98,16,227
