id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
6152624,13776330,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4075,2.16621
6160553,31959759,Horta-Guinardó,la Teixonera,41.42144,2.14235
6161452,31219384,Sant Martí,el Clot,41.40902,2.19145
6163177,31970000,Sant Martí,el Poblenou,41.39833,2.20741
6168081,31999892,Sant Martí,el Besòs i el Maresme,41.42104,2.21167
6169553,32009737,Sant Martí,la Vila Olímpica del Poblenou,41.39204,2.20066
6174581,7148140,Sant Martí,el Clot,41.40831,2.18733
6176958,32037490,Eixample,la Dreta de l'Eixample,41.38895,2.17001
6178385,27951425,Gràcia,Vallcarca i els Penitents,41.40808,2.14967
6183651,1618162,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40323,2.16884
6183733,7061500,Ciutat Vella,el Raval,41.37922,2.17274
6184600,1893978,Ciutat Vella,el Raval,41.38069,2.1709
6190328,17780940,Gràcia,la Vila de Gràcia,41.40297,2.15722
6199335,32149076,Sant Martí,la Vila Olímpica del Poblenou,41.38765,2.19512
6206056,14871323,Ciutat Vella,el Barri Gòtic,41.38071,2.17695
6217650,1391607,Sants-Montjuïc,Sants,41.37268,2.13857
6218820,1766222,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.4082,2.2148
6219483,13953449,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.41126,2.12492
6222502,4052481,Eixample,la Dreta de l'Eixample,41.39219,2.16484
6223660,10637895,Gràcia,la Vila de Gràcia,41.40418,2.15764
6226561,17495632,Ciutat Vella,el Raval,41.37792,2.17474
6230556,32324767,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38614,2.17713
6235783,10586740,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38845,2.18031
6237433,32370699,Nou Barris,Porta,41.43101,2.17554
6251057,31999566,Ciutat Vella,el Raval,41.38102,2.16772
6251781,16844520,Horta-Guinardó,el Baix Guinardó,41.4102,2.166
6252857,32469357,Ciutat Vella,el Raval,41.37974,2.16859
6257970,32262478,Eixample,l'Antiga Esquerra de l'Eixample,41.39023,2.15199
6266558,3397801,Horta-Guinardó,Can Baró,41.41568,2.16182
6267672,9478280,Eixample,l'Antiga Esquerra de l'Eixample,41.38543,2.15596
6268673,31799569,Ciutat Vella,el Raval,41.38384,2.16874
6269523,31799569,Ciutat Vella,el Raval,41.38508,2.16805
6269697,6832849,Sant Martí,el Camp de l'Arpa del Clot,41.41267,2.18495
6270885,20698632,Ciutat Vella,el Raval,41.3819,2.16507
6274975,31567000,Sants-Montjuïc,Sants - Badal,41.37583,2.12781
6275781,17962801,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39803,2.14975
6276125,14544382,Ciutat Vella,el Barri Gòtic,41.37691,2.17838
6287375,3073,Horta-Guinardó,el Guinardó,41.42098,2.17267
6289283,32695481,Ciutat Vella,el Raval,41.37735,2.16933
6290895,32706505,Eixample,el Fort Pienc,41.40125,2.18054
6295350,28043451,Eixample,la Dreta de l'Eixample,41.40068,2.17246
6298493,16844520,Horta-Guinardó,el Baix Guinardó,41.40844,2.16927
6311672,6099660,Sant Andreu,la Sagrera,41.42342,2.1855
6314518,28675338,Sant Martí,Sant Martí de Provençals,41.4146,2.1996
6318322,32727836,Sants-Montjuïc,el Poble Sec,41.37442,2.1592
6321358,32893221,Sant Martí,el Camp de l'Arpa del Clot,41.41205,2.18105
6325021,4950474,Ciutat Vella,el Raval,41.37927,2.16884
6330134,18964342,Eixample,l'Antiga Esquerra de l'Eixample,41.39258,2.15641
6330292,4006184,Eixample,la Dreta de l'Eixample,41.39584,2.17481
6333329,32968395,Les Corts,les Corts,41.38305,2.13339
6334216,3517015,Gràcia,la Vila de Gràcia,41.3989,2.15728
6335262,14848038,Eixample,la Sagrada Família,41.40713,2.18031
6343786,33036576,Eixample,l'Antiga Esquerra de l'Eixample,41.38496,2.15495
